iter	RMSE
545	71770.01545
546	71692.18844
547	71571.67523
548	71501.68052
549	71428.81335
550	71340.66386
551	71256.07306
552	71103.30901
553	70991.5955
554	70918.23464
555	70792.92723
556	70740.93195
557	70707.08759
558	70672.49808
559	70608.12635
560	70559.17148
561	70525.58344
562	70435.71536
563	70381.25185
564	70263.2341
565	70216.77689
566	70153.15724
567	70075.53418
568	70030.52195
569	69957.55778
570	69884.64865
571	69806.12697
572	69724.70725
573	69607.9423
574	69497.73959
575	69453.55815
576	69388.80897
577	69313.37815
578	69244.96685
579	69209.33134
580	69151.02818
581	69062.53869
582	69006.21932
583	68972.06408
584	68920.17473
585	68867.62336
586	68794.32813
587	68750.08441
588	68727.94243
589	68653.99874
590	68545.9525
591	68507.34006
592	68481.82163
593	68381.8646
594	68323.93652
595	68263.93747
596	68176.1893
597	68107.96847
598	68041.46819
599	68002.15666
600	67952.61955
601	67916.5678
602	67863.3212
603	67772.42377
604	67716.12813
605	67642.14168
606	67578.5302
607	67481.26793
608	67408.74368
609	67377.75652
610	67331.36933
611	67275.12943
612	67246.50196
613	67132.73511
614	67092.93038
615	67054.57245
616	66977.03802
617	66920.09437
618	66844.67098
619	66826.30149
620	66767.20988
621	66713.79792
622	66665.7839
623	66621.95322
624	66553.79075
625	66493.81806
626	66424.43824
627	66333.20325
628	66277.33424
629	66233.39655
630	66198.47897
631	66132.974
632	66056.18849
633	65996.64866
634	65943.44904
635	65915.74875
636	65838.87969
637	65785.40598
638	65703.87607
639	65670.23064
640	65608.3419
641	65539.30066
642	65490.83583
643	65453.58761
644	65386.78933
645	65345.35513
646	65280.03117
647	65241.26922
648	65184.86057
649	65107.14705
650	65061.03065
651	64997.10727
652	64933.4513
653	64906.11736
654	64848.76525
655	64798.31175
656	64733.23353
657	64657.10479
658	64602.4586
659	64571.68062
660	64519.23056
661	64456.73697
662	64408.09068
663	64371.21532
664	64311.98065
665	64261.77462
666	64209.34941
667	64140.85327
668	64110.84231
669	64073.78377
670	64049.05881
671	63985.64335
672	63899.09456
673	63872.94977
674	63797.1466
675	63756.40793
676	63678.76693
677	63634.96939
678	63597.81239
679	63558.13014
680	63526.84844
681	63451.35404
682	63428.74257
683	63322.25082
684	63276.86358
685	63236.03279
686	63196.64391
687	63139.07359
688	63099.23023
689	63055.43301
690	63020.56538
691	62997.48944
692	62943.29238
693	62849.56593
694	62804.31266
695	62728.77982
696	62656.78635
697	62642.78194
698	62610.18497
699	62576.58984
700	62534.17144
701	62496.03677
702	62401.4875
703	62324.1357
704	62267.29416
705	62230.55826
706	62197.19438
707	62119.08069
708	62064.33695
709	62038.54488
710	61996.92295
711	61927.44472
712	61879.00048
713	61846.09313
714	61830.2392
715	61799.92793
716	61729.54326
717	61700.76685
718	61658.79122
719	61623.73451
720	61564.12152
721	61521.20661
722	61459.80986
723	61429.90396
724	61407.10785
725	61388.50361
726	61341.34225
727	61308.34621
728	61265.68116
729	61227.46435
730	61171.91665
731	61123.7393
732	61091.92403
733	61040.12211
734	61002.88974
735	60968.03747
736	60946.39467
737	60890.07956
738	60824.09691
739	60787.8171
740	60731.07738
741	60657.6895
742	60624.04915
743	60577.62876
744	60551.59511
745	60511.32385
746	60474.18714
747	60431.13082
748	60349.90848
749	60318.95572
750	60244.42936
751	60200.52118
752	60149.6892
753	60121.5413
754	60097.45314
755	60081.34306
756	60034.98079
757	59988.81883
758	59944.95518
759	59928.07482
760	59901.634
761	59841.77359
762	59806.58673
763	59757.59394
764	59729.64067
765	59700.28489
766	59657.67575
767	59584.60746
768	59518.90336
769	59488.17329
770	59418.53198
771	59379.62038
772	59349.09708
773	59319.70529
774	59251.71963
775	59186.4163
776	59158.93113
777	59121.27548
778	59078.33964
779	59049.32601
780	59017.01944
781	58978.83742
782	58955.27932
783	58918.60914
784	58886.58602
785	58827.76082
786	58806.12801
787	58777.16489
788	58721.22271
789	58690.23554
790	58660.60117
791	58624.73444
792	58565.46076
793	58553.18164
794	58521.87015
795	58483.07173
796	58443.53797
797	58407.89946
798	58387.11122
799	58357.54688
800	58318.24578
801	58292.43592
802	58264.69163
803	58209.09336
804	58179.90838
805	58106.21153
806	58062.26239
807	58036.36818
808	58018.12537
809	57973.31918
810	57945.92039
811	57920.3601
812	57885.98176
813	57871.4242
814	57822.62605
815	57753.05824
816	57696.25757
817	57656.96149
818	57619.08249
819	57568.79771
820	57548.11078
821	57510.76819
822	57476.30364
823	57453.23127
824	57429.70119
825	57369.89515
826	57326.63103
827	57272.30568
828	57234.36995
829	57197.10312
830	57164.60541
831	57136.11384
832	57081.96087
833	57052.57839
834	57017.05673
835	56959.71485
836	56931.25764
837	56902.60152
838	56851.8326
839	56810.47203
840	56773.96836
841	56729.73909
842	56682.1074
843	56647.59156
844	56626.30081
845	56591.25761
846	56558.1733
847	56533.26887
848	56506.57268
849	56484.07282
850	56461.10541
851	56433.94945
852	56401.47739
853	56362.99218
854	56327.88166
855	56300.31158
856	56265.0061
857	56229.44583
858	56184.09208
859	56141.55176
860	56109.19892
861	56081.30863
862	56049.38318
863	56037.5043
864	56002.68818
865	55975.46119
866	55923.1118
867	55890.01554
868	55862.56579
869	55840.15495
870	55793.81722
871	55763.33284
872	55725.08563
873	55694.60323
874	55654.08377
875	55622.6926
876	55586.18168
877	55552.80202
878	55526.80141
879	55495.76762
880	55474.92411
881	55440.59545
882	55417.60909
883	55384.25325
884	55359.85309
885	55348.89099
886	55317.71823
887	55271.14091
888	55220.17203
889	55188.49457
890	55167.90309
891	55132.81249
892	55091.92437
893	55059.73479
894	55023.88036
895	54999.69696
896	54965.23745
897	54941.35169
898	54923.20206
899	54900.54258
900	54867.12823
901	54823.53087
902	54792.15008
903	54767.43612
904	54736.77672
905	54717.98828
906	54675.20653
907	54633.2175
908	54601.6491
909	54565.41317
910	54532.77866
911	54494.46457
912	54460.95673
913	54423.04527
914	54395.5093
915	54369.82913
916	54354.5978
917	54318.12093
918	54294.14717
919	54266.00064
920	54244.51251
921	54215.47447
922	54187.78976
923	54153.1654
924	54123.47918
925	54105.54098
926	54080.71563
927	54061.37187
928	54019.43654
929	53980.58108
930	53953.79554
931	53937.37633
932	53907.79406
933	53870.01011
934	53854.46137
935	53837.83743
936	53817.60769
937	53768.08524
938	53751.18868
939	53734.14175
940	53715.58611
941	53694.68474
942	53675.00964
943	53652.00395
944	53618.31758
945	53584.9937
946	53542.42797
947	53517.62617
948	53496.99392
949	53485.49875
950	53450.41664
951	53416.86137
952	53396.57176
953	53372.78509
954	53351.66194
955	53325.23042
956	53301.25828
957	53277.4024
958	53263.97706
959	53237.74362
960	53213.90688
961	53182.43296
962	53164.73435
963	53141.4617
964	53122.54072
965	53096.68037
966	53076.38322
967	53047.433
968	53026.26243
969	53005.99246
970	52986.14149
971	52955.6485
972	52899.6218
973	52866.53141
974	52840.75944
975	52789.55636
976	52756.53699
977	52731.67778
978	52720.82914
979	52676.95668
980	52644.78152
981	52625.66698
982	52590.63208
983	52561.31266
984	52533.034
985	52521.08243
986	52494.54353
987	52472.1542
988	52452.50664
989	52435.17663
990	52401.4842
991	52388.67699
992	52365.06369
993	52347.02759
994	52321.52719
995	52298.64791
996	52281.01668
997	52243.78838
998	52220.90324
999	52198.98739
