ID,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,year,month,day
TRAIN_0010,32,Male,Married,78,34763.57,0,Changed,Rent,Friday,Parking Lot,0,No witness,99,Broker,1,2549.95,9.0,Compact,25050.22,red,10693.76859575688,0,2016,JAN,23
TRAIN_0011,49,Male,Married,41,39204.83,0,Not changed,Own,Monday,Highway,0,No witness,3,Phone,0,2675.93,2.0,Compact,40642.0,silver,3074.858827171528,1,2016,MAY,25
TRAIN_0012,37,Male,Not married,76,36288.62,1,Changed,Own,Tuesday,Parking Lot,0,No witness,30,Phone,1,6946.56,13.0,Medium,16044.35,gray,19660.96422736112,0,2017,APR,19
TRAIN_0013,46,Female,Not married,73,38553.73,0,Changed,Own,Wednesday,Parking Lot,0,No witness,10,Broker,0,3808.45,10.0,Medium,21200.41,gray,8545.62099898608,0,2016,DEC,30
TRAIN_0014,39,Female,Married,56,36853.77,1,Not changed,Rent,Thursday,Parking Lot,0,No witness,84,Broker,1,6562.39,3.0,Compact,28548.9,silver,8956.82169680128,0,2017,JUN,2
TRAIN_0015,38,Male,Not married,78,36561.07,1,Changed,Own,Sunday,Local,1,Witness,5,Phone,0,5724.17,5.0,Medium,42937.23,other,10870.944819708639,0,2017,SEP,18
TRAIN_0016,54,Male,Married,88,40193.13,1,Changed,Own,Monday,Local,0,No witness,98,Phone,0,8850.18,5.0,Compact,42236.44,blue,8144.31380039928,0,2016,MAR,30
TRAIN_0017,39,Male,Married,79,36813.07,1,Not changed,Own,Thursday,Highway,0,No witness,50,Broker,1,6112.61,5.0,Compact,14881.89,red,12610.24555270168,0,2016,SEP,3
TRAIN_0018,32,Male,Married,75,34772.68,1,Changed,Rent,Sunday,Local,0,No witness,65,Broker,0,8506.17,6.0,Compact,32985.6,white,7557.58579895032,0,2016,JAN,18
TRAIN_0019,27,Male,Not married,93,33008.16,1,Changed,Rent,Tuesday,Highway,0,Witness,67,Online,1,7759.94,8.0,Compact,14556.24,blue,17691.3588740656,1,2017,FEB,9
TRAIN_0020,56,Male,Not married,82,40566.78,0,Not changed,Own,Friday,Highway,0,No witness,79,Phone,1,3542.79,8.0,Medium,46413.94,silver,10226.111224931761,0,2016,DEC,25
TRAIN_0021,47,Female,Not married,87,38772.01,1,Not changed,Rent,Friday,Parking Lot,0,No witness,17,Phone,0,6741.73,7.0,Medium,23256.43,gray,4725.63456370112,0,2017,FEB,5
TRAIN_0022,49,Male,Married,88,39218.0,1,Not changed,Own,Sunday,Parking Lot,3,No witness,3,Broker,1,4801.04,9.0,Compact,15700.51,blue,12799.122944327999,0,2016,FEB,8
TRAIN_0023,56,Female,Married,82,40584.0,0,Changed,Own,Sunday,Local,0,Witness,30,Broker,1,4533.95,6.0,Compact,23909.34,blue,22881.08485879648,0,2016,DEC,20
TRAIN_0024,35,Female,Married,84,35696.14,1,Changed,Rent,Thursday,Parking Lot,4,No witness,95,Phone,1,5565.31,7.0,Large,14717.06,gray,8786.012648079679,0,2017,MAR,24
TRAIN_0025,56,Female,Married,73,40577.83,0,Changed,Rent,Saturday,Parking Lot,0,No witness,50,Online,1,4280.83,6.0,Large,16573.26,red,9395.3263469128,1,2017,MAY,21
TRAIN_0026,46,Female,Married,79,38537.53,1,Not changed,Own,Sunday,Highway,0,No witness,50,Broker,0,6455.01,8.0,Large,34371.51,black,7689.16027818784,0,2016,NOV,8
TRAIN_0027,31,Male,Not married,94,34440.55,1,Changed,Own,Tuesday,Local,0,Witness,5,Phone,1,5925.18,1.0,Compact,22450.71,other,6148.8269275679995,0,2016,NOV,17
TRAIN_0028,62,Male,Not married,66,41623.94,1,Changed,Own,Wednesday,Local,0,No witness,54,Phone,1,3684.77,3.0,Large,14191.85,blue,4341.894171344639,0,2016,MAR,18
TRAIN_0029,27,Male,Married,75,32999.05,1,Changed,Own,Sunday,Local,0,No witness,42,Online,1,1878.89,9.0,Medium,24709.69,blue,3891.6438852132474,0,2017,MAY,8
TRAIN_0030,29,Male,Married,77,33753.0,1,Not changed,Rent,Sunday,Highway,0,No witness,0,Broker,0,3840.45,7.0,Compact,20672.12,black,6567.12044802312,0,2016,JUL,12
TRAIN_0031,34,Male,Married,73,35403.53,1,Changed,Own,Sunday,Highway,1,No witness,83,Broker,1,4829.01,7.0,Medium,48314.51,red,5697.185391311679,0,2016,JUN,21
TRAIN_0032,46,Male,Married,73,38547.17,0,Not changed,Own,Saturday,Highway,1,Witness,66,Broker,0,3617.68,3.0,Large,4539.39,silver,16216.36605432312,0,2017,JUL,23
TRAIN_0033,42,Female,Not married,57,37595.14,1,Not changed,Rent,Friday,Highway,1,Witness,6,Online,1,4291.58,2.0,Compact,17964.66,other,9751.40091581128,0,2017,JUL,29
TRAIN_0034,24,Male,Not married,71,31751.28,1,Changed,Rent,Saturday,Highway,0,Witness,10,Phone,1,3092.28,4.0,Compact,26495.77,white,18175.404287982878,0,2017,SEP,3
TRAIN_0035,28,Female,Married,80,33390.48,1,Not changed,Rent,Monday,Parking Lot,1,No witness,50,Online,1,5894.92,5.0,Large,18894.1,other,14486.831551715122,0,2016,FEB,2
TRAIN_0036,54,Male,Married,57,40192.12,1,Not changed,Rent,Wednesday,Local,0,Witness,75,Broker,1,5840.74,4.0,Medium,34669.71,white,14384.8553339332,0,2016,FEB,4
TRAIN_0037,36,Male,Not married,77,35990.84,1,Not changed,Rent,Wednesday,Local,0,No witness,0,Broker,1,6575.27,3.0,Compact,45089.6,white,16225.80980801168,0,2016,MAR,25
TRAIN_0038,45,Male,Married,65,38311.72,0,Not changed,Own,Saturday,Parking Lot,0,No witness,38,Broker,1,4277.24,5.0,Large,31398.11,blue,7035.05724059208,0,2016,FEB,28
TRAIN_0039,31,Male,Married,68,34449.38,1,Not changed,Rent,Monday,Local,0,No witness,6,Phone,0,8354.15,8.0,Medium,17799.02,blue,6405.55198006144,0,2017,JUL,18
TRAIN_0040,54,Male,Married,74,40214.24,1,Changed,Own,Sunday,Local,0,No witness,29,Broker,0,6827.1,6.0,Large,33250.53,gray,3927.699186638864,0,2017,JUL,17
TRAIN_0041,50,Male,Married,68,39412.42,1,Changed,Own,Saturday,Parking Lot,0,No witness,67,Broker,0,6019.79,3.0,Medium,34806.68,red,10474.0229848652,0,2016,OCT,10
TRAIN_0042,45,Male,Married,77,38331.44,1,Changed,Own,Monday,Local,0,No witness,0,Broker,0,4576.31,5.0,Large,48505.31,gray,13871.74751854136,1,2017,MAY,9
TRAIN_0043,36,Female,Married,68,35979.7,1,Changed,Own,Tuesday,Local,1,Witness,88,Phone,0,5543.52,5.0,Large,21810.52,black,15218.86722873328,1,2016,JUN,2
TRAIN_0044,59,Female,Married,76,41116.64,1,Changed,Rent,Wednesday,Local,2,Witness,50,Phone,0,6745.54,3.0,Large,24660.42,black,4287.159096791696,0,2017,NOV,9
TRAIN_0045,56,Male,Married,70,40600.2,0,Changed,Rent,Sunday,Local,0,Witness,11,Phone,0,5482.74,6.0,Medium,23973.61,blue,6800.76706160688,0,2016,SEP,20
TRAIN_0046,51,Male,Not married,81,39617.98,1,Changed,Own,Friday,Local,0,No witness,43,Broker,0,4563.82,7.0,Medium,15699.28,blue,9235.90131433936,0,2016,JUN,12
TRAIN_0047,30,Female,Not married,86,34095.25,0,Not changed,Rent,Friday,Local,0,Witness,91,Online,1,2740.85,5.0,Medium,27928.37,blue,11303.84748615032,0,2016,JUN,5
TRAIN_0048,48,Male,Married,81,38989.15,1,Changed,Rent,Tuesday,Local,0,No witness,72,Broker,0,9770.44,6.0,Compact,15209.37,white,4590.8870950256005,1,2016,OCT,13
TRAIN_0049,26,Male,Married,83,32593.93,1,Changed,Rent,Sunday,Local,1,No witness,77,Online,1,5238.21,6.0,Medium,5195.96,white,9407.20828914304,0,2017,SEP,25
TRAIN_0050,30,Male,Married,54,34116.17,1,Not changed,Rent,Tuesday,Local,1,Witness,95,Online,1,4990.98,3.0,Compact,19099.37,other,7823.05508915768,0,2017,MAY,31
TRAIN_0051,57,Male,Married,84,40757.15,1,Not changed,Own,Thursday,Parking Lot,0,No witness,22,Broker,0,2449.98,6.0,Compact,8885.09,other,7431.632086627361,0,2016,APR,2
TRAIN_0052,55,Male,Married,82,40391.48,0,Changed,Own,Tuesday,Parking Lot,1,Witness,45,Broker,1,5415.27,5.0,Medium,13994.9,red,7469.977352708081,0,2017,JUL,19
TRAIN_0053,40,Male,Not married,93,37103.69,0,Changed,Own,Sunday,Local,1,No witness,2,Broker,0,4049.65,6.0,Compact,24235.21,black,6898.72710324608,0,2016,NOV,29
TRAIN_0054,43,Female,Not married,86,37825.67,1,Not changed,Own,Thursday,Parking Lot,0,No witness,48,Broker,1,5238.3,7.0,Medium,10811.08,black,6656.7548720052,0,2016,FEB,19
TRAIN_0055,61,Male,Married,91,41460.91,0,Not changed,Rent,Sunday,Parking Lot,4,No witness,26,Phone,1,3809.58,3.0,Large,26591.86,black,8248.52267511584,0,2016,JUL,26
TRAIN_0056,26,Female,Not married,72,32602.03,1,Changed,Rent,Thursday,Local,0,No witness,50,Online,1,1298.42,6.0,Large,16652.61,red,19338.25466582016,0,2017,FEB,11
TRAIN_0057,37,Female,Married,91,36287.61,0,Changed,Rent,Tuesday,Highway,0,Witness,36,Broker,1,2895.84,7.0,Medium,40680.39,white,11214.49487434192,0,2017,AUG,30
TRAIN_0058,40,Female,Not married,51,37094.81,1,Not changed,Rent,Sunday,Local,1,Witness,28,Phone,0,2660.77,6.0,Large,25745.6,silver,9710.55496528312,0,2017,NOV,13
TRAIN_0059,25,Female,Not married,65,32206.03,1,Not changed,Rent,Thursday,Local,0,Witness,2,Phone,1,9453.59,10.0,Medium,23443.44,white,7295.3204422272,0,2017,FEB,4
TRAIN_0060,45,Female,Married,87,38328.4,1,Not changed,Rent,Friday,Parking Lot,0,No witness,92,Online,1,2888.3,5.0,Compact,8069.71,black,13398.848379597279,1,2017,FEB,26
TRAIN_0061,30,Male,Married,49,34116.17,1,Not changed,Rent,Thursday,Parking Lot,0,Witness,15,Online,0,4923.84,2.0,Compact,32203.03,white,6154.8773458968,0,2017,NOV,3
TRAIN_0062,34,Male,Married,84,35422.68,1,Not changed,Own,Wednesday,Parking Lot,0,No witness,84,Phone,0,2301.63,5.0,Compact,35152.62,blue,14501.529356793999,0,2017,MAY,4
TRAIN_0063,48,Female,Married,16,38988.75,1,Changed,Own,Friday,Local,1,No witness,96,Phone,1,4987.2,4.0,Medium,7040.8,silver,9569.58782949584,0,2017,NOV,18
TRAIN_0064,32,Female,Married,99,34768.63,1,Changed,Rent,Sunday,Parking Lot,0,No witness,3,Broker,1,5098.83,5.0,Compact,39239.94,other,14759.81419424152,0,2016,AUG,16
TRAIN_0065,39,Male,Married,60,36837.38,0,Not changed,Rent,Sunday,Parking Lot,0,No witness,49,Phone,1,4857.69,6.0,Medium,20180.36,black,20688.37142618512,0,2016,DEC,27
TRAIN_0066,46,Male,Not married,88,38540.08,0,Changed,Own,Sunday,Local,0,No witness,65,Phone,1,7700.2,6.0,Medium,24159.59,blue,23497.112295291437,1,2017,OCT,23
TRAIN_0067,30,Male,Married,84,34096.92,1,Changed,Rent,Wednesday,Local,2,No witness,50,Online,1,3503.57,2.0,Large,45556.13,black,8472.95192277824,0,2017,NOV,23
TRAIN_0068,51,Female,Married,86,39594.69,0,Not changed,Rent,Wednesday,Parking Lot,0,No witness,5,Broker,1,3227.57,3.0,Large,8959.69,black,1230.81014169924,0,2016,FEB,11
TRAIN_0069,39,Female,Not married,84,36832.5,1,Changed,Own,Sunday,Highway,1,No witness,5,Broker,1,5434.91,8.0,Large,16919.47,white,10644.41554994832,0,2017,OCT,30
TRAIN_0070,49,Male,Married,88,39214.6,1,Changed,Own,Sunday,Parking Lot,0,No witness,82,Broker,1,7719.52,10.0,Compact,6694.92,other,4791.28817738464,0,2017,MAY,22
TRAIN_0071,36,Female,Married,94,36020.23,1,Not changed,Rent,Monday,Parking Lot,0,No witness,92,Phone,1,7870.45,10.0,Large,12332.92,blue,4220.0037529405845,0,2017,JUN,20
TRAIN_0072,36,Male,Married,86,36008.06,0,Changed,Rent,Friday,Local,0,No witness,8,Broker,0,3425.49,5.0,Large,14172.46,red,4834.294876907679,0,2016,JUL,3
TRAIN_0073,25,Female,Married,20,32178.68,1,Changed,Rent,Tuesday,Highway,1,Witness,10,Online,1,5700.94,5.0,Compact,12537.01,white,10560.519305169999,1,2017,JUN,21
TRAIN_0074,20,Female,Married,85,29790.69,1,Not changed,Rent,Friday,Local,1,No witness,4,Online,0,3779.44,2.0,Medium,32713.79,other,8374.22712956296,0,2016,JAN,9
TRAIN_0075,69,Male,Married,38,42729.69,1,Changed,Own,Monday,Parking Lot,1,No witness,96,Phone,1,5716.43,11.0,Medium,34454.69,other,8832.058840379199,0,2016,FEB,23
TRAIN_0076,33,Male,Married,85,35101.62,1,Not changed,Own,Thursday,Local,0,Witness,100,Phone,1,8332.63,7.0,Large,25309.34,silver,14841.338488517918,0,2017,SEP,29
TRAIN_0077,31,Male,Married,90,34456.75,1,Changed,Own,Thursday,Highway,0,No witness,75,Broker,1,2615.35,8.0,Large,16408.53,other,6448.135786691039,0,2016,JUN,4
TRAIN_0078,54,Male,Not married,59,40222.34,1,Not changed,Rent,Sunday,Parking Lot,2,No witness,93,Broker,1,3906.3,4.0,Compact,22739.32,white,14594.49893842592,0,2017,DEC,25
TRAIN_0079,57,Female,Not married,84,40740.95,1,Not changed,Own,Wednesday,Local,0,No witness,3,Broker,0,5529.98,7.0,Large,30889.8,red,21265.5744991212,0,2016,NOV,4
TRAIN_0080,57,Female,Married,84,40797.61,1,Not changed,Rent,Monday,Highway,1,No witness,76,Phone,1,4077.94,4.0,Compact,26334.25,blue,6045.00138798656,0,2017,SEP,19
TRAIN_0081,34,Female,Married,62,35392.3,1,Changed,Own,Wednesday,Local,0,No witness,36,Broker,1,1595.12,4.0,Compact,47279.84,black,7478.09100228768,1,2017,NOV,16
TRAIN_0082,67,Male,Married,90,42437.33,1,Changed,Own,Thursday,Highway,0,No witness,97,Broker,1,2924.49,9.0,Large,13397.16,silver,20600.5107646472,1,2017,MAR,31
TRAIN_0083,37,Female,Married,49,36283.56,1,Not changed,Own,Friday,Local,0,Witness,76,Phone,1,4601.34,9.0,Compact,31699.45,white,10171.83516824632,0,2017,JUN,3
TRAIN_0084,45,Female,Married,77,38329.42,1,Not changed,Rent,Wednesday,Local,3,No witness,0,Phone,1,2177.59,8.0,Large,32387.81,other,6473.215541543519,0,2017,JUN,1
TRAIN_0085,59,Male,Not married,87,41129.79,1,Changed,Own,Friday,Local,0,No witness,50,Broker,1,7308.93,,Large,22131.89,red,16518.76801626112,0,2016,JAN,2
TRAIN_0086,57,Female,Not married,64,40771.28,0,Changed,Own,Tuesday,Local,4,No witness,99,Phone,1,764.76,3.0,Medium,25565.41,other,3155.20622529444,0,2017,JUN,21
TRAIN_0087,57,Male,Not married,39,40767.28,1,Changed,Own,Monday,Parking Lot,0,No witness,1,Broker,1,3298.94,2.0,Large,17354.52,red,9621.07357870592,0,2016,FEB,23
TRAIN_0088,35,Female,Married,91,35718.45,1,Not changed,Own,Monday,Local,0,No witness,2,Online,1,3355.38,5.0,Medium,16893.73,blue,9804.15404642856,0,2016,DEC,21
TRAIN_0089,30,Male,Married,70,34100.32,1,Not changed,Rent,Tuesday,Parking Lot,1,Witness,9,Broker,1,6078.2,4.0,Compact,33152.53,white,27358.6930035784,0,2016,MAR,24
TRAIN_0090,35,Female,Not married,74,35723.52,1,Changed,Own,Tuesday,Parking Lot,1,No witness,24,Broker,1,5601.62,8.0,Large,49931.96,black,8616.79597036144,0,2016,OCT,13
TRAIN_0091,43,Male,Married,60,37847.95,0,Not changed,Rent,Monday,Local,0,No witness,25,Broker,0,6588.67,3.0,Compact,37301.58,silver,7344.91947097736,0,2016,JUN,15
TRAIN_0092,62,Female,Married,68,41640.26,0,Not changed,Own,Thursday,Highway,0,No witness,1,Phone,0,3613.77,11.0,Medium,11299.75,other,10189.71207264744,1,2017,OCT,13
TRAIN_0093,32,Male,Not married,68,34791.71,1,Changed,Own,Monday,Local,0,No witness,17,Broker,1,2709.84,6.0,Medium,23996.79,other,7253.219389027279,0,2017,SEP,12
TRAIN_0094,25,Female,Married,98,32181.72,1,Not changed,Rent,Saturday,Parking Lot,0,No witness,33,Online,1,5886.27,9.0,Medium,30275.1,silver,11641.45784879792,0,2017,DEC,24
TRAIN_0095,60,Female,Married,35,41282.69,1,Changed,Own,Friday,Parking Lot,1,No witness,19,Broker,1,2874.06,4.0,Medium,28687.88,white,11496.952355216641,0,2016,JUL,31
TRAIN_0096,23,Female,Married,83,31292.48,1,Changed,Own,Saturday,Parking Lot,0,No witness,0,Online,1,5875.63,11.0,Compact,21830.51,other,4900.20800871808,0,2017,JAN,16
TRAIN_0097,75,Male,Married,91,43574.2,1,Not changed,Rent,Friday,Local,0,Witness,100,Phone,1,5076.71,5.0,Large,10670.17,red,6699.82542821,0,2016,OCT,16
TRAIN_0098,25,Female,Married,41,32174.35,1,Changed,Own,Monday,Local,0,No witness,94,Online,1,4352.37,4.0,Compact,15099.0,red,7947.251880907439,0,2016,FEB,9
TRAIN_0099,24,Male,Not married,76,31745.01,1,Changed,Own,Thursday,Local,2,No witness,84,Phone,1,6760.15,7.0,Large,52238.86,white,8048.225946132319,0,2016,APR,16
TRAIN_0100,54,Male,Not married,84,40239.56,1,Changed,Rent,Wednesday,Parking Lot,0,No witness,3,Broker,0,4865.87,8.0,Large,17617.54,silver,9670.3786616964,0,2017,AUG,3
TRAIN_0101,49,Female,Married,54,39219.01,1,Not changed,Own,Thursday,Local,0,No witness,69,Broker,0,5826.14,5.0,Compact,13657.25,gray,7303.456195344961,0,2016,JAN,22
TRAIN_0102,54,Male,Not married,83,40201.07,1,Not changed,Own,Tuesday,Highway,1,No witness,100,Broker,1,6573.05,7.0,Large,17294.71,other,8547.85142424808,0,2017,MAY,3
TRAIN_0103,43,Female,Married,82,37857.45,0,Changed,Own,Saturday,Local,0,No witness,12,Broker,1,5209.94,9.0,Medium,62996.22,other,8281.27255729032,0,2017,JUL,9
TRAIN_0104,50,Male,Married,55,39409.38,1,Not changed,Rent,Saturday,Highway,2,No witness,59,Phone,1,2661.86,6.0,Large,22981.21,blue,16384.73532239512,0,2016,OCT,17
TRAIN_0105,84,Female,Married,69,44730.59,1,Not changed,Rent,Monday,Local,0,Witness,72,Broker,0,2875.53,6.0,Medium,25389.47,silver,8619.04720188848,0,2016,AUG,10
TRAIN_0106,50,Male,Married,74,39395.2,1,Changed,Own,Thursday,Parking Lot,1,No witness,95,Broker,1,6025.35,4.0,Compact,48210.4,gray,10438.99778089256,0,2016,MAY,21
TRAIN_0107,41,Male,Married,83,37375.36,1,Changed,Rent,Friday,Local,1,Witness,99,Broker,1,4345.35,8.0,Medium,18606.5,black,8021.3130354992,0,2017,OCT,28
TRAIN_0108,27,Male,Married,93,33000.06,1,Changed,Rent,Monday,Parking Lot,3,Witness,98,Phone,1,4904.62,6.0,Compact,25473.86,red,9079.0447646096,0,2017,AUG,29
TRAIN_0109,42,Male,Married,76,37589.74,0,Not changed,Own,Monday,Parking Lot,0,No witness,31,Broker,1,5703.87,6.0,Medium,22570.79,silver,10878.62667238384,0,2016,MAR,16
TRAIN_0110,39,Male,Not married,72,36839.59,0,Not changed,Rent,Friday,Parking Lot,0,No witness,95,Broker,0,9207.25,3.0,Large,7754.87,black,15269.414854433038,1,2017,APR,1
TRAIN_0111,46,Male,Married,73,38548.18,1,Changed,Own,Saturday,Local,0,Witness,2,Broker,1,6427.34,4.0,Medium,12064.29,red,8055.810471572081,0,2017,MAR,5
TRAIN_0112,58,Female,Married,71,40948.52,1,Changed,Own,Tuesday,Local,1,Witness,78,Phone,0,8833.21,5.0,Large,53540.22,white,9862.12026907856,0,2017,DEC,6
TRAIN_0113,26,Female,Married,79,32588.51,1,Not changed,Rent,Saturday,Local,1,Witness,84,Online,0,8243.23,5.0,Medium,30738.24,black,15343.19485455952,0,2016,DEC,5
TRAIN_0114,47,Male,Not married,45,38787.2,0,Changed,Own,Monday,Local,0,No witness,32,Broker,1,5777.04,5.0,Large,17399.35,silver,6848.909624588719,0,2017,OCT,10
TRAIN_0115,30,Female,Married,84,34118.19,1,Changed,Rent,Thursday,Parking Lot,1,Witness,79,Online,0,6672.84,6.0,Medium,33459.28,white,7209.94395438792,0,2017,DEC,22
TRAIN_0116,39,Male,Married,81,36838.57,0,Not changed,Rent,Sunday,Local,1,No witness,4,Broker,1,2454.01,8.0,Medium,6975.62,gray,8235.77400475608,0,2017,AUG,21
TRAIN_0117,36,Male,Married,90,36013.14,1,Changed,Own,Sunday,Local,2,No witness,89,Broker,1,6754.32,4.0,Medium,19975.29,gray,7976.1383159015195,0,2017,OCT,2
TRAIN_0118,44,Female,Not married,42,38093.43,0,Not changed,Own,Thursday,Parking Lot,1,No witness,4,Broker,0,2186.33,5.0,Large,33864.21,red,10518.289976152479,0,2017,MAY,19
TRAIN_0119,39,Female,Not married,70,36835.35,1,Changed,Rent,Wednesday,Highway,0,Witness,51,Broker,1,5508.15,6.0,Compact,22988.02,silver,14933.7303663068,0,2016,MAY,20
TRAIN_0120,52,Female,Not married,88,39806.08,0,Changed,Own,Saturday,Local,0,No witness,17,Online,1,8600.29,7.0,Compact,7797.36,black,14771.44516401816,0,2017,SEP,24
TRAIN_0121,54,Male,Married,70,40205.12,1,Changed,Own,Sunday,Parking Lot,0,No witness,82,Phone,1,10154.42,10.0,Compact,20747.86,blue,10532.48121422168,0,2017,MAR,20
TRAIN_0122,46,Female,Married,72,38548.18,1,Changed,Own,Saturday,Parking Lot,2,Witness,14,Broker,1,2919.66,7.0,Medium,19875.21,other,6311.10218712,0,2017,JAN,30
TRAIN_0123,31,Male,Married,50,34434.48,1,Not changed,Own,Thursday,Local,0,No witness,32,Phone,1,3765.83,9.0,Compact,21464.53,gray,6187.011182096479,0,2016,JUN,25
TRAIN_0124,24,Female,Married,39,31737.1,0,Changed,Rent,Wednesday,Local,0,No witness,50,Online,0,2843.87,9.0,Large,46348.07,other,5854.03060577736,0,2017,AUG,17
TRAIN_0125,30,Female,Not married,92,34109.08,0,Not changed,Rent,Tuesday,Highway,1,No witness,90,Online,1,7328.57,6.0,Large,18832.3,red,8352.38329096664,1,2017,OCT,4
TRAIN_0126,27,Female,Married,86,33006.14,1,Changed,Rent,Tuesday,Local,0,No witness,93,Online,1,5955.87,9.0,Compact,45904.51,gray,12476.70278355488,0,2017,NOV,8
TRAIN_0127,51,Female,Not married,78,39631.88,1,Not changed,Own,Saturday,Highway,1,No witness,16,Phone,1,6825.78,5.0,Large,33801.63,red,11410.213063821118,0,2017,DEC,31
TRAIN_0128,48,Female,Married,54,38996.85,1,Changed,Rent,Tuesday,Highway,0,No witness,100,Broker,0,8144.84,6.0,Large,20842.6,blue,25080.295157662644,0,2017,SEP,27
TRAIN_0129,45,Female,Married,94,38314.76,0,Changed,Own,Monday,Parking Lot,0,No witness,51,Online,0,4734.48,4.0,Medium,6690.51,red,15648.219739453041,1,2016,JUL,20
TRAIN_0130,44,Male,Not married,66,38094.01,1,Changed,Own,Saturday,Parking Lot,0,No witness,23,Phone,1,5211.87,6.0,Medium,15311.85,white,22245.81048408768,0,2016,DEC,12
TRAIN_0131,57,Male,Married,74,40771.28,0,Not changed,Own,Friday,Local,0,Witness,83,Broker,0,3154.7,6.0,Compact,34224.42,white,20927.95151300824,0,2017,APR,8
TRAIN_0132,59,Female,Married,84,41110.55,1,Not changed,Own,Thursday,Local,0,Witness,77,Phone,1,2545.6,7.0,Compact,37443.9,blue,6349.55620188272,0,2016,AUG,13
TRAIN_0133,55,Male,Married,58,40366.29,1,Not changed,Own,Wednesday,Parking Lot,0,No witness,95,Broker,0,3438.83,9.0,Large,15953.09,blue,16208.38372869936,0,2016,DEC,30
TRAIN_0134,41,Female,Not married,89,37369.28,0,Changed,Own,Sunday,Parking Lot,0,Witness,100,Phone,1,3077.54,8.0,Medium,49610.15,red,14201.11703534072,0,2017,DEC,11
TRAIN_0135,39,Male,Married,71,36842.44,1,Not changed,Rent,Thursday,Highway,0,No witness,58,Broker,1,5580.86,2.0,Large,40540.24,white,12131.471095548559,0,2016,MAR,26
TRAIN_0136,44,Male,Married,86,38094.01,0,Changed,Own,Monday,Highway,2,No witness,100,Phone,0,5653.59,2.0,Large,16048.88,red,7712.17905160584,0,2016,JAN,5
TRAIN_0137,39,Male,Married,95,36853.58,1,Changed,Own,Tuesday,Local,0,Witness,49,Online,0,4431.0,8.0,Medium,16451.9,red,16746.69463060848,0,2016,DEC,8
TRAIN_0138,46,Female,Not married,33,38524.37,0,Changed,Rent,Friday,Highway,1,No witness,6,Broker,1,6154.28,9.0,Large,16751.21,black,4578.7886170464,1,2016,JAN,16
TRAIN_0139,43,Female,Married,77,37844.28,1,Changed,Own,Saturday,Parking Lot,0,No witness,57,Broker,1,3178.49,5.0,Medium,11052.53,silver,8958.881117879278,0,2017,JAN,2
TRAIN_0140,41,Male,Married,79,37365.23,1,Changed,Own,Sunday,Local,5,No witness,50,Phone,1,2269.82,3.0,Compact,22571.84,black,7075.609630913761,0,2017,JUL,31
