ID,Age,Height,Weight,Position,PreferredFoot,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Prospect
TRAIN_0010,20,180,72,CAM,Right,High,Medium,4.9275,4.7368,4.7059,4.3939,4.0789,3.9344,5.5682,5.1648,5.1136,6.3855,5.4023,5.6522,5.5172,4.0,5.9524,5.9551,5.7831,5.7317,5.3947,4.0625,6.5333,5.1316,5.3425,4.8148,4.0845,5.6322,5.2941,5.2273,5.1064,5.0,4.8837,4.2169,3.7079,5.2874,5.3571,0.7955,1.0227,1.3187,0.4494,0.7955,5.0685,5.5263,5.2632,5.2632,5.2632,5.5263,5.4667,5.4054,5.4795,5.4054,5.493,5.2857,5.493,5.4286,4.8611,5.4286,0.75,0
TRAIN_0011,21,186,82,CM,Left,Medium,Medium,6.2319,5.5263,6.0294,5.4545,5.7895,7.0492,6.5909,5.2747,4.5455,7.1084,3.4483,6.1957,6.6667,7.1111,6.9048,6.7416,6.988,6.8293,6.8421,5.0,8.1333,7.1053,7.3973,8.1481,6.4789,6.8966,6.8235,6.9318,5.6383,6.4286,6.1628,6.8675,6.4045,6.2069,6.3095,1.25,0.9091,0.3297,1.0112,0.4545,5.8904,6.4474,6.1842,6.1842,6.1842,6.4474,6.4,6.4865,6.7123,6.4865,7.0423,6.8571,7.0423,7.0,6.3889,7.0,0.875,0
TRAIN_0012,20,188,78,CB,Right,Medium,High,6.6667,1.4474,3.0882,4.3939,7.3684,7.2131,2.1591,2.3077,7.1591,5.9036,2.7586,5.6522,3.4483,1.1111,5.4762,6.1798,7.4699,6.9512,5.9211,4.6875,4.2667,3.1579,7.8082,6.2963,7.7465,1.3793,6.7059,7.6136,2.9787,4.2857,2.2093,4.4578,7.5281,7.7011,7.619,0.6818,0.9091,0.5495,0.6742,0.5682,4.2466,4.6053,4.4737,4.4737,4.4737,4.6053,4.8,4.8649,5.2055,4.8649,6.4789,6.8571,6.4789,7.0,7.5,7.0,0.75,0
TRAIN_0013,21,181,71,RM,Right,High,Low,8.6957,7.3684,6.1765,7.2727,3.4211,4.4262,7.5,8.022,6.0227,6.8675,7.4713,8.1522,6.6667,4.3333,6.4286,7.7528,8.7952,9.0244,9.2105,5.4688,6.1333,6.8421,2.4658,7.9012,3.8028,7.2414,4.4706,2.2727,7.0213,7.2619,7.093,6.8675,4.2697,4.1379,5.5952,1.3636,0.5682,1.2088,0.3371,1.25,7.3973,8.0263,7.6316,7.6316,7.6316,8.0263,7.7333,7.8378,6.8493,7.8378,6.4789,5.2857,6.4789,6.2857,4.4444,6.2857,1.0,0
TRAIN_0014,20,178,63,CAM,Left,Medium,Medium,7.6812,6.0526,5.2941,6.3636,2.2368,4.0984,5.2273,6.044,4.4318,6.3855,5.5172,7.5,5.8621,4.2222,7.381,7.3034,7.9518,8.1707,7.1053,4.6875,6.4,7.6316,4.9315,5.679,4.3662,6.5517,4.2353,2.1591,5.7447,6.4286,5.4651,5.1807,3.8202,2.8736,2.8571,0.5682,0.5682,1.0989,0.5618,1.25,6.3014,6.8421,6.7105,6.7105,6.7105,6.8421,6.8,6.7568,6.1644,6.7568,5.0704,4.5714,5.0704,4.7143,3.6111,4.7143,0.75,0
TRAIN_0015,18,172,70,CAM,Right,Medium,Medium,5.6522,3.9474,3.9706,4.0909,3.6842,3.4426,4.5455,4.2857,3.9773,5.5422,4.7126,5.4348,3.7931,4.2222,5.3571,5.1685,6.6265,6.0976,7.1053,3.4375,7.2,4.6053,4.6575,4.321,3.5211,4.8276,5.2941,4.8864,5.4255,5.119,3.9535,4.4578,4.382,4.4828,4.0476,0.5682,1.25,1.3187,0.5618,0.3409,4.5205,5.1316,5.0,5.0,5.0,5.1316,5.2,5.0,4.9315,5.0,4.9296,4.5714,4.9296,4.8571,4.3056,4.8571,0.625,0
TRAIN_0016,19,173,62,CDM,Left,Medium,Medium,6.3768,3.8158,5.4412,6.0606,6.3158,4.4262,4.3182,3.8462,5.2273,7.7108,4.1379,6.413,4.023,4.3333,7.0238,7.4157,7.3494,6.5854,7.6316,5.625,8.5333,5.9211,5.6164,6.1728,3.3803,4.4828,6.4706,7.0455,5.0,6.3095,4.7674,6.1446,6.6292,7.0115,6.9048,0.5682,0.6818,0.989,1.1236,0.6818,5.3425,6.0526,6.0526,6.0526,6.0526,6.0526,6.4,6.2162,6.7123,6.2162,6.9014,7.0,6.9014,7.0,6.5278,7.0,0.875,0
TRAIN_0017,18,188,82,CB,Right,Low,Medium,3.3333,1.5789,0.5882,0.7576,6.5789,6.5574,1.9318,2.6374,6.9318,3.253,3.3333,2.1739,2.6437,2.8889,1.5476,4.1573,2.4096,6.0976,2.1053,2.6562,3.7333,1.5789,6.5753,4.9383,8.169,2.6437,5.7647,6.3636,2.8723,1.9048,3.4884,3.6145,7.191,7.0115,6.9048,1.0227,0.9091,0.4396,1.0112,1.3636,3.1507,2.6316,2.6316,2.6316,2.6316,2.6316,2.4,2.4324,2.8767,2.4324,4.7887,4.8571,4.7887,5.4286,6.5278,5.4286,0.875,1
TRAIN_0018,21,180,78,LB,Left,High,Medium,7.6812,3.2895,5.0,5.4545,5.7895,6.3934,6.8182,3.8462,5.5682,6.2651,2.8736,6.6304,5.8621,3.0,6.0714,6.5169,7.7108,8.2927,6.9737,4.6875,6.9333,4.4737,6.0274,7.5309,6.338,4.023,5.7647,6.1364,5.4255,5.0,3.4884,4.6988,6.2921,6.3218,6.1905,1.0227,0.9091,1.3187,0.5618,1.4773,5.3425,6.1842,5.6579,5.6579,5.6579,6.1842,5.8667,6.3514,5.8904,6.3514,6.9014,6.2857,6.9014,7.0,6.25,7.0,1.0,0
TRAIN_0019,21,172,66,CAM,Left,Medium,Low,7.3913,6.1842,4.7059,6.2121,3.4211,4.0984,6.25,6.3736,4.5455,5.6627,6.4368,7.3913,6.5517,7.0,4.7619,6.9663,7.4699,8.0488,8.1579,4.2188,8.0,6.7105,5.3425,5.679,3.0986,7.2414,6.8235,2.9545,6.0638,5.119,5.0,4.5783,2.6966,5.8621,5.7143,1.25,0.9091,0.5495,0.7865,0.9091,6.1644,6.7105,6.4474,6.4474,6.4474,6.7105,6.4,6.3514,5.6164,6.3514,5.7746,4.8571,5.7746,5.5714,4.4444,5.5714,0.875,0
TRAIN_0020,19,181,74,RM,Right,Medium,Medium,5.5072,4.6053,3.0882,4.2424,1.5789,2.7869,5.6818,5.6044,3.75,4.6988,4.1379,6.7391,3.3333,3.2222,3.4524,4.9438,5.9036,6.4634,5.6579,0.9375,3.2,4.3421,3.6986,4.1975,4.2254,4.8276,1.8824,2.5,6.2766,4.0476,5.3488,3.9759,2.5843,2.1839,2.381,1.0227,1.4773,1.3187,0.6742,1.25,4.7945,5.3947,5.0,5.0,5.0,5.3947,4.9333,5.1351,3.9726,5.1351,3.8028,2.7143,3.8028,3.5714,2.5,3.5714,0.875,0
TRAIN_0021,21,183,72,CDM,Right,Medium,Medium,4.9275,3.6842,5.5882,5.303,6.3158,5.082,5.3409,3.956,6.9318,7.2289,4.1379,6.5217,4.9425,4.3333,7.1429,6.8539,5.3012,6.0976,5.3947,4.375,4.9333,5.3947,5.0685,6.4198,4.9296,4.2529,5.5294,6.3636,5.0,6.6667,4.8837,6.747,6.8539,6.6667,7.0238,0.7955,1.1364,0.3297,0.4494,0.7955,5.3425,5.7895,5.6579,5.6579,5.6579,5.7895,6.1333,6.0811,6.4384,6.0811,6.6197,6.7143,6.6197,6.8571,6.5278,6.8571,0.75,0
TRAIN_0022,17,177,67,LM,Left,Medium,Medium,6.5217,3.8158,4.2647,4.697,3.0263,2.1311,5.2273,4.6154,3.8636,6.0241,3.5632,5.7609,3.7931,3.3333,5.9524,5.9551,6.988,7.0732,6.9737,3.125,7.7333,4.4737,5.7534,5.4321,1.4085,4.1379,3.6471,4.4318,5.4255,4.5238,3.3721,4.2169,3.1461,4.1379,4.0476,0.4545,1.3636,0.8791,0.6742,1.0227,4.6575,5.5263,5.1316,5.1316,5.1316,5.5263,5.3333,5.5405,5.2055,5.5405,5.0704,4.4286,5.0704,5.0,3.6111,5.0,0.75,1
TRAIN_0023,20,181,77,CM,Right,Medium,Medium,5.7971,3.9474,5.2941,6.0606,5.5263,6.0656,5.0,4.1758,4.4318,6.8675,4.5977,6.7391,5.1724,4.0,6.6667,7.0787,6.3855,6.5854,7.7632,5.7812,7.7333,5.6579,4.9315,8.2716,5.2113,4.7126,6.1176,6.4773,4.5745,6.6667,4.3023,6.3855,5.9551,6.3218,6.1905,1.25,1.25,0.7692,0.7865,1.0227,5.2055,6.0526,5.9211,5.9211,5.9211,6.0526,6.2667,6.2162,6.5753,6.2162,6.7606,6.7143,6.7606,6.7143,5.9722,6.7143,1.125,0
TRAIN_0024,21,182,75,ST,Right,High,Low,6.087,5.2632,1.9118,4.2424,0.3947,3.9344,2.7273,6.044,6.0227,3.8554,4.3678,5.5435,3.908,3.3333,2.7381,5.618,6.506,6.8293,6.1842,3.75,5.6,4.8684,5.7534,5.0617,5.2113,5.7471,2.2353,1.0227,5.2128,3.8095,6.9767,4.4578,1.0112,1.0345,1.6667,0.9091,1.3636,0.7692,0.7865,1.25,5.3425,5.1316,5.1316,5.1316,5.1316,5.1316,4.8,4.7297,3.8356,4.7297,3.0986,2.2857,3.0986,3.0,2.2222,3.0,1.0,0
TRAIN_0025,19,167,71,RM,Right,Medium,Medium,6.6667,5.1316,4.4118,5.6061,1.7105,2.7869,6.25,5.7143,3.6364,5.5422,5.0575,6.9565,5.2874,4.2222,4.881,6.7416,8.3133,6.2195,5.9211,3.4375,7.6,5.3947,3.5616,4.1975,3.5211,5.2874,3.2941,2.2727,5.7447,5.4762,6.2791,5.3012,2.1348,2.8736,3.5714,1.25,1.0227,0.8791,0.5618,0.7955,5.3425,6.3158,5.9211,5.9211,5.9211,6.3158,5.8667,6.0811,5.0685,6.0811,4.6479,3.7143,4.6479,4.2857,2.9167,4.2857,0.875,1
TRAIN_0026,20,177,66,RM,Right,High,Medium,7.971,5.0,5.7353,6.8182,6.4474,6.3934,7.1591,5.6044,6.5909,6.988,3.2184,7.7174,6.3218,3.1111,5.7143,7.4157,8.4337,8.1707,7.8947,5.7812,6.6667,5.9211,7.3973,5.9259,6.4789,5.6322,7.2941,6.4773,6.1702,6.5476,3.3721,6.747,6.7416,7.1264,7.0238,0.7955,1.1364,0.8791,0.3371,1.4773,6.4384,7.2368,6.8421,6.8421,6.8421,7.2368,6.9333,7.1622,6.7123,7.1622,7.4648,6.8571,7.4648,7.5714,7.0833,7.5714,1.0,0
TRAIN_0027,19,177,69,RWB,Right,Medium,Medium,6.5217,2.3684,2.6471,3.9394,4.4737,3.2787,4.4318,3.2967,4.4318,4.4578,3.2184,5.3261,4.3678,4.4444,3.6905,5.1685,6.988,7.0732,7.2368,2.9688,7.2,2.1053,3.9726,5.0617,3.2394,2.9885,4.7059,5.7955,4.3617,3.0952,4.5349,2.6506,4.6067,5.1724,5.2381,1.25,1.4773,0.8791,0.7865,0.6818,3.8356,4.6053,4.2105,4.2105,4.2105,4.6053,4.2667,4.5946,4.1096,4.5946,5.2113,4.4286,5.2113,5.2857,4.5833,5.2857,0.875,0
TRAIN_0028,19,188,86,CB,Right,Medium,Medium,3.6232,1.9737,1.9118,2.1212,5.7895,5.5738,2.2727,2.7473,6.25,4.6988,3.2184,3.913,2.6437,2.6667,3.9286,4.382,4.5783,4.7561,4.2105,3.125,2.8,2.8947,5.4795,4.5679,7.4648,2.8736,4.1176,5.5682,2.1277,2.381,2.7907,3.1325,5.618,7.0115,7.0238,1.25,1.25,0.4396,1.0112,1.25,3.4247,3.2895,3.1579,3.1579,3.1579,3.2895,3.2,3.2432,3.6986,3.2432,4.9296,5.0,4.9296,5.4286,5.9722,5.4286,1.0,1
TRAIN_0029,17,193,75,GK,Left,Medium,Medium,4.9275,5.0,3.0882,4.697,1.4474,3.7705,0.4545,0.3297,0.7955,1.4458,0.2299,0.7609,0.6897,1.0,1.4286,0.8989,1.5663,1.0976,0.7895,3.125,0.5333,2.2368,1.5068,0.8642,5.0704,0.2299,1.1765,1.1364,0.4255,1.7857,1.2791,1.0843,0.4494,0.4598,0.5952,6.8182,5.9091,4.8352,5.7303,6.4773,0.274,0.3947,0.3947,0.3947,0.3947,0.3947,0.4,0.2703,0.411,0.2703,0.4225,0.4286,0.4225,0.2857,0.5556,0.2857,6.0,1
TRAIN_0030,20,186,78,CAM,Right,Medium,Medium,5.7971,5.2632,5.0,4.8485,4.2105,4.5902,4.7727,5.9341,4.6591,6.747,5.2874,5.9783,5.977,5.3333,6.3095,6.9663,6.3855,6.5854,4.7368,4.2188,4.1333,5.0,4.3836,5.5556,4.6479,6.2069,5.5294,5.6818,6.2766,5.3571,5.0,5.5422,4.4944,5.0575,4.2857,1.25,1.4773,0.989,0.8989,1.1364,5.7534,6.0526,6.0526,6.0526,6.0526,6.0526,6.1333,5.9459,6.0274,5.9459,5.6338,5.5714,5.6338,5.5714,5.0,5.5714,1.125,0
TRAIN_0031,18,184,74,RB,Right,High,High,6.5217,4.3421,4.1176,4.2424,5.2632,5.082,5.3409,4.7253,5.3409,5.3012,5.0575,5.6522,5.4023,4.4444,5.4762,5.5056,7.2289,7.0732,6.8421,3.9062,5.3333,5.0,5.8904,6.9136,4.7887,5.1724,5.1765,6.0227,5.0,4.7619,4.3023,4.6988,5.9551,5.6322,5.5952,1.1364,0.6818,1.0989,0.6742,0.7955,5.0685,5.3947,5.1316,5.1316,5.1316,5.3947,5.2,5.4054,5.2055,5.4054,6.0563,5.5714,6.0563,6.1429,5.5556,6.1429,0.75,1
TRAIN_0032,20,185,81,CAM,Right,Medium,Medium,6.9565,6.0526,5.5882,6.3636,3.4211,6.2295,6.1364,6.5934,3.8636,6.506,5.977,7.2826,6.6667,6.0,5.9524,7.3034,7.2289,7.561,7.2368,5.1562,6.9333,6.0526,5.7534,5.9259,6.9014,6.5517,6.0,4.2045,6.5957,6.7857,5.9302,5.7831,4.2697,4.023,4.0476,0.6818,1.1364,0.989,0.8989,1.4773,6.4384,6.9737,6.7105,6.7105,6.7105,6.9737,6.9333,6.7568,6.3014,6.7568,5.7746,5.4286,5.7746,5.5714,4.7222,5.5714,1.125,0
TRAIN_0033,21,176,71,CDM,Right,Medium,Medium,4.6377,3.5526,5.0,4.8485,5.7895,3.4426,4.7727,4.0659,6.4773,7.2289,4.2529,6.3043,4.023,4.7778,6.9048,6.2921,5.0602,5.9756,4.2105,4.2188,7.0667,5.2632,5.0685,3.3333,3.3803,3.6782,6.4706,5.9091,2.9787,4.7619,5.9302,4.3373,6.0674,6.5517,6.6667,0.3409,0.6818,0.5495,0.4494,0.4545,4.6575,5.1316,5.0,5.0,5.0,5.1316,5.3333,5.2703,5.6164,5.2703,5.9155,6.1429,5.9155,6.1429,6.1111,6.1429,0.5,0
TRAIN_0034,18,190,75,CB,Right,Medium,Medium,3.1884,1.7105,2.0588,2.8788,5.2632,4.7541,2.0455,2.3077,5.5682,5.3012,2.5287,4.1304,2.5287,2.3333,4.6429,5.3933,3.6145,4.7561,4.4737,3.4375,4.4,3.5526,4.6575,4.6914,5.6338,2.2989,4.8235,5.7955,2.9787,2.1429,2.7907,4.3373,5.7303,5.7471,5.7143,1.1364,0.3409,0.6593,0.5618,0.7955,3.4247,3.4211,3.4211,3.4211,3.4211,3.4211,3.6,3.5135,3.9726,3.5135,4.7887,5.1429,4.7887,5.1429,5.4167,5.1429,0.625,1
TRAIN_0035,17,188,68,GK,Left,Medium,Medium,3.3333,5.2632,3.3824,3.4848,1.1842,3.1148,0.6818,0.5495,0.9091,1.3253,0.2299,0.4348,0.4598,0.7778,0.8333,1.0112,0.6024,2.0732,1.0526,0.4688,2.4,2.3684,4.9315,1.1111,2.1127,0.1149,2.1176,1.0227,0.2128,2.5,1.5116,1.5663,0.5618,0.5747,0.8333,5.5682,6.1364,5.0549,5.2809,5.5682,0.0,0.2632,0.2632,0.2632,0.2632,0.2632,0.2667,0.1351,0.274,0.1351,0.2817,0.1429,0.2817,0.2857,0.4167,0.2857,5.25,1
TRAIN_0036,21,183,70,GK,Left,Medium,Medium,4.4928,5.2632,4.7059,4.8485,1.8421,4.5902,0.7955,0.4396,1.1364,2.8916,0.6897,1.087,0.6897,0.8889,2.5,1.6854,1.8072,1.7073,1.4474,1.5625,3.8667,3.2895,6.5753,0.9877,3.8028,0.6897,2.1176,1.0227,0.5319,2.7381,0.6977,1.8072,1.7978,0.9195,0.8333,6.4773,6.1364,6.044,6.2921,6.5909,0.5479,0.7895,0.9211,0.9211,0.9211,0.7895,1.0667,0.8108,1.0959,0.8108,0.8451,1.0,0.8451,0.7143,1.1111,0.7143,6.0,0
TRAIN_0037,19,180,70,RB,Right,Medium,Medium,5.2174,1.7105,2.7941,4.3939,5.1316,3.4426,5.4545,2.8571,4.4318,4.5783,2.2989,5.5435,2.7586,2.6667,3.5714,5.8427,6.6265,5.4878,6.4474,4.0625,6.5333,1.4474,5.3425,4.8148,3.2394,2.2989,4.9412,5.9091,4.7872,3.5714,3.1395,5.1807,4.9438,6.4368,6.1905,0.5682,0.9091,0.989,1.236,1.25,3.6986,4.8684,4.3421,4.3421,4.3421,4.8684,4.4,4.7297,4.3836,4.7297,5.6338,5.0,5.6338,5.8571,5.1389,5.8571,1.0,1
TRAIN_0038,21,175,63,RB,Right,High,Medium,6.2319,1.9737,4.8529,5.9091,6.0526,4.918,6.8182,2.7473,5.3409,6.3855,2.6437,7.0652,4.4828,4.0,5.7143,6.9663,6.747,6.8293,6.7105,4.8438,6.1333,1.3158,5.7534,7.284,4.0845,3.2184,5.8824,6.8182,6.5957,4.881,4.6512,5.1807,6.2921,6.7816,6.7857,1.25,1.25,1.3187,1.0112,1.25,4.6575,6.0526,5.5263,5.5263,5.5263,6.0526,5.8667,6.3514,6.0274,6.3514,7.0423,6.4286,7.0423,7.1429,6.25,7.1429,1.25,0
TRAIN_0039,21,176,70,LM,Left,Medium,Medium,7.6812,5.6579,4.1176,5.4545,0.6579,2.459,7.0455,6.1538,4.7727,4.6988,4.8276,6.9565,4.9425,6.0,4.2857,6.2921,7.7108,8.4146,5.5263,5.0,7.3333,5.7895,3.6986,4.8148,2.9577,6.4368,2.7059,1.25,6.0638,4.7619,5.1163,5.0602,1.0112,1.8391,1.4286,0.4545,0.6818,0.4396,1.1236,0.7955,5.8904,6.4474,6.0526,6.0526,6.0526,6.4474,5.8667,6.2162,4.7945,6.2162,4.2254,2.8571,4.2254,3.8571,2.2222,3.8571,0.75,1
TRAIN_0040,21,194,85,GK,Right,Medium,Medium,3.913,4.8684,4.2647,3.7879,1.5789,3.7705,0.5682,0.6593,1.0227,1.5663,0.4598,0.6522,0.6897,0.7778,1.3095,0.5618,1.4458,1.7073,0.5263,3.4375,0.4,3.0263,1.9178,1.358,6.0563,0.2299,1.6471,1.0227,0.2128,3.2143,1.3953,1.2048,0.6742,0.6897,0.5952,6.0227,5.7955,5.7143,5.7303,5.7955,0.5479,0.3947,0.5263,0.5263,0.5263,0.3947,0.6667,0.4054,0.6849,0.4054,0.4225,0.5714,0.4225,0.4286,0.8333,0.4286,5.625,0
TRAIN_0041,21,177,70,RWB,Right,Medium,Medium,5.0725,3.1579,3.5294,3.4848,5.0,4.2623,4.8864,3.5165,4.2045,5.1807,4.023,5.4348,4.2529,4.0,4.7619,4.2697,5.6627,6.0976,4.6053,3.125,6.1333,4.0789,5.3425,6.7901,3.0986,4.1379,6.0,6.1364,5.4255,4.2857,3.7209,4.8193,5.3933,5.6322,5.9524,0.4545,1.0227,0.7692,0.5618,0.5682,4.1096,4.7368,4.4737,4.4737,4.4737,4.7368,4.5333,4.7297,4.6575,4.7297,5.6338,5.1429,5.6338,5.7143,5.1389,5.7143,0.5,0
